annee_consommation,zone_climatique,code_region,nom_region,code_departement,nom_departement,nom_commune,nombre_declaration,surface_declaree,consommation_declaree
Année de référence,GUA,01,Guadeloupe,971,Guadeloupe,BAIE MAHAULT,86,205643,38442621
Année de référence,GUA,01,Guadeloupe,971,Guadeloupe,BAILLIF,7,8815,1287317
Année de référence,GUA,01,Guadeloupe,971,Guadeloupe,BASSE TERRE,4,4024,699468
Année de référence,GUA,01,Guadeloupe,971,Guadeloupe,LES ABYMES,34,88040,20281219
Année de référence,GUA,01,Guadeloupe,971,Guadeloupe,PETIT BOURG,13,14890,1302881
Année de référence,GUA,01,Guadeloupe,971,Guadeloupe,POINTE A PITRE,4,2682,702277
Année de référence,GUA,01,Guadeloupe,971,Guadeloupe,SAINT FRANCOIS,6,8982,2701468
Année de référence,GUY,03,Guyane,973,Guyane,CAYENNE,28,60641,7489990
Année de référence,GUY,03,Guyane,973,Guyane,KOUROU,5,9575,2381032
Année de référence,GUY,03,Guyane,973,Guyane,MATOURY,11,15303,2417127
Année de référence,GUY,03,Guyane,973,Guyane,REMIRE MONTJOLY,10,22076,8409763
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS,479,2058567,327515476
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 01,211,504238,154557190
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 02,216,378653,91886566
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 03,68,89485,16609264
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 04,64,275265,45673415
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 05,80,235545,64570476
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 06,110,465405,95697483
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 07,158,599009,122807622
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 08,960,1857034,429531582
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 09,408,788024,179301689
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 10,240,787411,185560635
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 11,243,424598,125305268
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 12,351,1559257,295343805
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 13,367,1136549,233603340
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 14,216,1009619,260967154
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 15,383,1782422,450109136
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 16,295,1390201,283667489
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 17,353,1463225,282083911
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 18,215,739895,175996723
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 19,316,1035408,221134013
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 20,191,698839,154602954
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,AUBEPIERRE OZOUER LE REPOS,3,7082,481011
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,AVON,22,54775,11119681
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,BAILLY ROMAINVILLIERS,18,85761,75319734
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,BOIS LE ROI,3,15991,3181175
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,BOISSISE LE ROI,3,13423,1837668
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,BRIE COMTE ROBERT,26,74233,12827930
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,BROU SUR CHANTEREINE,6,19287,3983497
