annee_consommation,zone_climatique,nom_region,nom_departement,nom_commune,nombre_declaration,surface_declaree,consommation_declaree,vecteur_energie
Année de référence,GUA,Guadeloupe,Guadeloupe,BAIE MAHAULT,86,205643,38442621,Electricite
Année de référence,GUA,Guadeloupe,Guadeloupe,BAILLIF,7,8815,1287317,Electricite
Année de référence,GUA,Guadeloupe,Guadeloupe,BASSE TERRE,4,4024,699468,Electricite
Année de référence,GUA,Guadeloupe,Guadeloupe,LES ABYMES,34,88040,20281219,Electricite
Année de référence,GUA,Guadeloupe,Guadeloupe,PETIT BOURG,13,14890,1302881,Electricite
Année de référence,GUA,Guadeloupe,Guadeloupe,POINTE A PITRE,4,2682,702277,Electricite
Année de référence,GUA,Guadeloupe,Guadeloupe,SAINT FRANCOIS,6,8982,2701468,Electricite
Année de référence,GUY,Guyane,Guyane,CAYENNE,28,60641,7489990,Electricite
Année de référence,GUY,Guyane,Guyane,KOUROU,5,9575,2381032,Electricite
Année de référence,GUY,Guyane,Guyane,MATOURY,11,15303,2417127,Electricite
Année de référence,GUY,Guyane,Guyane,REMIRE MONTJOLY,10,22076,8409763,Electricite
Année de référence,H1a,Île-de-France,Seine-et-Marne,LIZY SUR OURCQ,3,6837,1980161,Inconnu
Année de référence,H1a,Île-de-France,Seine-et-Marne,MAUREGARD,7,3391,218404,Electricite
Année de référence,H1a,Île-de-France,Seine-et-Marne,VILLENOY,3,2372,244282,Inconnu
Année de référence,H1a,Île-de-France,Yvelines,BOIS D ARCY,4,23602,3819060,Inconnu
Année de référence,H1a,Île-de-France,Yvelines,FOLLAINVILLE DENNEMONT,3,1817,251502,Inconnu
Année de référence,H1a,Île-de-France,Essonne,BIEVRES,5,5558,691223,Electricite
Année de référence,H1a,Île-de-France,Essonne,CHAMARANDE,3,3913,1586548,Inconnu
Année de référence,H1a,Île-de-France,Essonne,SAINT AUBIN,17,16145,2423327,Electricite
Année de référence,H1a,Île-de-France,Essonne,SAINT JEAN DE BEAUREGARD,3,482,132809,Electricite
Année de référence,H1a,Île-de-France,Essonne,VERT LE GRAND,3,8636,2977877,Inconnu
Année de référence,H1a,Île-de-France,Val-de-Marne,PARIS,3,32746,5453404,Inconnu
Année de référence,H1a,Île-de-France,Val-d'Oise,BONNEUIL EN FRANCE,4,29787,1907571,Electricite
Année de référence,H1a,Normandie,Calvados,MOULT CHICHEBOVILLE,3,6552,2353434,Inconnu
Année de référence,H1a,Normandie,Calvados,SAINT MARTIN DES ENTREES,3,14037,3176533,Electricite
Année de référence,H1a,Normandie,Eure,MENNEVAL,5,3494,514415,Electricite
Année de référence,H1a,Normandie,Eure,NORMANVILLE,4,6665,711183,Electricite
Année de référence,H1a,Normandie,Orne,GACE,3,8060,972738,Inconnu
Année de référence,H1a,Normandie,Orne,RIVES D ANDAINE,4,9404,3077707,Inconnu
Année de référence,H1a,Normandie,Seine-Maritime,LES GRANDES VENTES,5,19087,6730235,Inconnu
Année de référence,H1a,Normandie,Seine-Maritime,PISSY POVILLE,5,5784,814369,Electricite
Année de référence,H1a,Normandie,Seine-Maritime,ROUXMESNIL BOUTEILLES,3,5928,998741,Inconnu
Année de référence,H1a,Normandie,Seine-Maritime,SAINT SAENS,3,11914,4517209,Inconnu
Année de référence,H1a,Hauts-de-France,Oise,LACROIX SAINT OUEN,3,10711,633978,Inconnu
Année de référence,H1a,Hauts-de-France,Oise,MILLY SUR THERAIN,3,975,458521,Electricite
Année de référence,H1a,Hauts-de-France,Pas-de-Calais,ATHIES,4,17640,7843664,Inconnu
Année de référence,H1a,Hauts-de-France,Pas-de-Calais,DUISANS,3,5450,319134,Electricite
Année de référence,H1a,Hauts-de-France,Pas-de-Calais,FRESNES LES MONTAUBAN,6,1485,142890,Electricite
Année de référence,H1a,Hauts-de-France,Pas-de-Calais,MARCONNELLE,3,6869,2193130,Inconnu
Année de référence,H1a,Hauts-de-France,Pas-de-Calais,WIMILLE,3,16245,3814302,Inconnu
Année de référence,H1a,Grand-Est,Marne,BETHENY,4,22741,1142718,Electricite
Année de référence,H1a,Bretagne,Ille-et-Vilaine,CESSON SEVIGNE,12,9224,598399,Electricite
Année de référence,H1a,Bretagne,Morbihan,CARENTOIR,4,18588,6229489,Electricite
Année de référence,H1a,Occitanie,Haute-Garonne,TOULOUSE,3,2012,236828,Electricite
Année de référence,H1a,Auvergne-Rhône-Alpes,Rhône,CALUIRE ET CUIRE,3,5372,538458,Inconnu
Année de référence,H1b,Île-de-France,Hauts-de-Seine,PUTEAUX,26,358841,8493116,Electricite
Année de référence,H1b,Bourgogne-Franche-Comté,Haute-Saône,SAINT LOUP SUR SEMOUSE,3,44940,1736349,Inconnu
Année de référence,H1b,Grand-Est,Ardennes,SAULT LES RETHEL,3,11169,2906235,Inconnu
Année de référence,H1b,Grand-Est,Marne,AY CHAMPAGNE,3,20349,3611399,Inconnu
Année de référence,H1b,Grand-Est,Meurthe-et-Moselle,CONFLANS EN JARNISY,4,4290,510425,Electricite
Année de référence,H1b,Grand-Est,Moselle,LA MAXE,3,8226,1023879,Electricite
Année de référence,H1b,Grand-Est,Moselle,OGY MONTOY FLANVILLE,3,8581,1856811,Inconnu
Année de référence,H1b,Grand-Est,Moselle,REDING,3,3029,250442,Electricite
Année de référence,H1b,Grand-Est,Bas-Rhin,DUPPIGHEIM,3,10676,3137290,Electricite
Année de référence,H1b,Grand-Est,Bas-Rhin,NIEDERHAUSBERGEN,3,2065,94462,Electricite
Année de référence,H1b,Grand-Est,Bas-Rhin,ROPPENHEIM,29,8025,1752917,Electricite
Année de référence,H1b,Grand-Est,Haut-Rhin,AMMERSCHWIHR,3,4664,571475,Gaz
Année de référence,H1c,Île-de-France,Hauts-de-Seine,PUTEAUX,12,143008,3919295,Electricite
Année de référence,H1c,Bourgogne-Franche-Comté,Côte-dOr,PERRIGNY LES DIJON,6,31477,8944867,Inconnu
