annee_consommation,zone_climatique,nom_region,nom_departement,nom_commune,nombre_declaration,surface_declaree,consommation_declaree,vecteur_energie,coordonnees_gps,densite_energetique,consommation_log,consommation_etat
Année de référence,GUA,Guadeloupe,Guadeloupe,BAIE MAHAULT,86,205643,38442621,Electricite,"(16.2679458, -61.5870766)",186.93863151189197,17.464677349937865,Normale
Année de référence,GUA,Guadeloupe,Guadeloupe,BAILLIF,7,8815,1287317,Electricite,"(16.0225079, -61.7454024)",146.0370958593307,14.06807154230457,Normale
Année de référence,GUA,Guadeloupe,Guadeloupe,BASSE TERRE,4,4024,699468,Electricite,"(16.0000778, -61.7333373)",173.82405566600397,13.45807675473608,Normale
Année de référence,GUA,Guadeloupe,Guadeloupe,LES ABYMES,34,88040,20281219,Electricite,"(16.2706436, -61.5057749)",230.3636869604725,16.825205892668777,Normale
Année de référence,GUA,Guadeloupe,Guadeloupe,PETIT BOURG,13,14890,1302881,Electricite,"(16.1913912, -61.5903488)",87.50040295500335,14.080089291760569,Normale
Année de référence,GUA,Guadeloupe,Guadeloupe,POINTE A PITRE,4,2682,702277,Electricite,"(16.2408636, -61.5334077)",261.8482475764355,13.462084616012142,Normale
Année de référence,GUA,Guadeloupe,Guadeloupe,SAINT FRANCOIS,6,8982,2701468,Electricite,"(16.2532002, -61.2750706)",300.7646403918949,14.809306257093995,Normale
Année de référence,GUY,Guyane,Guyane,CAYENNE,28,60641,7489990,Electricite,"(4.9371544, -52.3258736)",123.51362939265513,15.829078153890544,Normale
Année de référence,GUY,Guyane,Guyane,KOUROU,5,9575,2381032,Electricite,"(5.1579834, -52.6424204)",248.6717493472585,14.68304498509576,Normale
Année de référence,GUY,Guyane,Guyane,MATOURY,11,15303,2417127,Electricite,"(4.8496712, -52.3268695)",157.95118604195255,14.698090616496044,Normale
Année de référence,GUY,Guyane,Guyane,REMIRE MONTJOLY,10,22076,8409763,Electricite,"(4.9050148, -52.2771642)",380.9459594129371,15.944903969724237,Normale
Année de référence,H1a,Île-de-France,Seine-et-Marne,LIZY SUR OURCQ,3,6837,1980161,Inconnu,"(49.0273072, 3.0218144)",289.6242504022232,14.49868921750561,Normale
Année de référence,H1a,Île-de-France,Seine-et-Marne,MAUREGARD,7,3391,218404,Electricite,"(49.0332971, 2.5809475)",64.40695959893837,12.294106416363723,Normale
Année de référence,H1a,Île-de-France,Seine-et-Marne,VILLENOY,3,2372,244282,Inconnu,"(48.9412182, 2.8596553)",102.98566610455312,12.40608266825069,Normale
Année de référence,H1a,Île-de-France,Yvelines,BOIS D ARCY,4,23602,3819060,Inconnu,"(47.5475818, 3.7165618)",161.81086348614525,15.15551513884783,Normale
Année de référence,H1a,Île-de-France,Yvelines,FOLLAINVILLE DENNEMONT,3,1817,251502,Inconnu,"(49.0213601, 1.7151203)",138.41607044578976,12.435210196880211,Normale
Année de référence,H1a,Île-de-France,Essonne,BIEVRES,5,5558,691223,Electricite,"(49.4941667, 3.7119444)",124.36541921554516,13.446219218091402,Normale
Année de référence,H1a,Île-de-France,Essonne,CHAMARANDE,3,3913,1586548,Inconnu,"(48.5136159, 2.2174622)",405.4556606184513,14.277071775125664,Normale
Année de référence,H1a,Île-de-France,Essonne,SAINT AUBIN,17,16145,2423327,Electricite,"(50.4573687, 1.6651851)",150.09767729947353,14.70065236001386,Normale
Année de référence,H1a,Île-de-France,Essonne,SAINT JEAN DE BEAUREGARD,3,482,132809,Electricite,"(48.6633406, 2.1694739)",275.5373443983402,11.796674814394297,Normale
Année de référence,H1a,Île-de-France,Essonne,VERT LE GRAND,3,8636,2977877,Inconnu,"(48.5740125, 2.3593984)",344.82132931912923,14.906721524294909,Normale
Année de référence,H1a,Île-de-France,Val-de-Marne,PARIS,3,32746,5453404,Inconnu,"(48.8534951, 2.3483915)",166.53649300677947,15.511750742193703,Normale
Année de référence,H1a,Île-de-France,Val-d'Oise,BONNEUIL EN FRANCE,4,29787,1907571,Electricite,"(48.9748734, 2.4332879)",64.04038674589586,14.461341787168895,Normale
