annee_consommation,zone_climatique,code_region,nom_region,code_departement,nom_departement,nom_commune,vecteur_energie,consommation_declaree
Année de référence,GUA,01,Guadeloupe,971,Guadeloupe,BAIE MAHAULT,Electricite,38442621
Année de référence,GUA,01,Guadeloupe,971,Guadeloupe,BAILLIF,Electricite,1287317
Année de référence,GUA,01,Guadeloupe,971,Guadeloupe,BASSE TERRE,Electricite,699468
Année de référence,GUA,01,Guadeloupe,971,Guadeloupe,LAMENTIN,Electricite,2058509
Année de référence,GUA,01,Guadeloupe,971,Guadeloupe,LES ABYMES,Electricite,20281219
Année de référence,GUA,01,Guadeloupe,971,Guadeloupe,PETIT BOURG,Electricite,1302881
Année de référence,GUA,01,Guadeloupe,971,Guadeloupe,POINTE A PITRE,Electricite,702277
Année de référence,GUA,01,Guadeloupe,971,Guadeloupe,SAINT FRANCOIS,Electricite,2701468
Année de référence,GUY,03,Guyane,973,Guyane,CAYENNE,Electricite,7489990
Année de référence,GUY,03,Guyane,973,Guyane,KOUROU,Electricite,2381032
Année de référence,GUY,03,Guyane,973,Guyane,MATOURY,Electricite,2417127
Année de référence,GUY,03,Guyane,973,Guyane,REMIRE MONTJOLY,Electricite,8409763
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS,Electricite,209415840
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS,Gaz,53324324
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS,Reseau de chaleur,62886324
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS,Reseau de froid,1888998
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 01,Electricite,91168383
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 01,Fioul,3226448
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 01,Gaz,21207420
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 01,Reseau de chaleur,30675523
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 01,Reseau de froid,8279413
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 02,Electricite,64721264
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 02,Gaz,6545032
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 02,Reseau de chaleur,16145057
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 02,Reseau de froid,4475210
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 03,Electricite,9733323
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 03,Gaz,4213833
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 03,Reseau de chaleur,2662108
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 04,Electricite,24290585
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 04,Gaz,1488702
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 04,Reseau de chaleur,19193895
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 05,Electricite,41572978
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 05,Gaz,4245114
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 05,Reseau de chaleur,18695190
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 06,Electricite,50543431
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 06,Gaz,18290908
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 06,Reseau de chaleur,26863147
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 07,Electricite,71033105
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 07,Fioul,827959
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 07,Gaz,13102986
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 07,Reseau de chaleur,33794472
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 07,Reseau de froid,4049095
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 08,Electricite,289306901
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 08,Fioul,1478022
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 08,Gaz,59943149
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 08,Reseau de chaleur,64232321
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 08,Reseau de froid,14571220
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 09,Electricite,125309051
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 09,Gaz,13883915
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 09,Reseau de chaleur,32513464
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 09,Reseau de froid,7595270
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 10,Electricite,116904811
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 10,Gaz,18478824
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 10,Reseau de chaleur,50066686
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 11,Electricite,81222519
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 11,Fioul,933400
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 11,Gaz,41924434
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 12,Electricite,180975639
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 12,Gaz,31816858
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 12,Reseau de chaleur,81651629
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 12,Reseau de froid,619758
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 13,Electricite,134091387
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 13,Fioul,624145
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 13,Gaz,34869755
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 13,Reseau de chaleur,59747784
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 13,Reseau de froid,4268191
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 14,Electricite,156482496
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 14,Fioul,818746
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 14,Gaz,27779222
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 14,Reseau de chaleur,75886696
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 15,Electricite,294738117
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 15,Gaz,32159914
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 15,Reseau de chaleur,122271826
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 15,Reseau de froid,925437
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 16,Electricite,188873624
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 16,Fioul,998515
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 16,Gaz,49446035
