annee_consommation,zone_climatique,code_region,code_departement,nom_commune,nombre_declaration,surface_declaree,consommation_declaree,vecteur_energie
Année de référence,GUA,01,971,BAILLIF,7,8815,1287317,Electricite
Année de référence,GUA,01,971,BASSE TERRE,4,4024,699468,Electricite
Année de référence,GUA,01,971,LES ABYMES,34,88040,20281219,Electricite
Année de référence,GUA,01,971,PETIT BOURG,13,14890,1302881,Electricite
Année de référence,GUA,01,971,POINTE A PITRE,4,2682,702277,Electricite
Année de référence,GUA,01,971,SAINT FRANCOIS,6,8982,2701468,Electricite
Année de référence,GUY,03,973,CAYENNE,28,60641,7489990,Electricite
Année de référence,GUY,03,973,KOUROU,5,9575,2381032,Electricite
Année de référence,GUY,03,973,MATOURY,11,15303,2417127,Electricite
Année de référence,GUY,03,973,REMIRE MONTJOLY,10,22076,8409763,Electricite
Année de référence,H1a,11,75,PARIS 03,68,89485,16609264,Electricite
Année de référence,H1a,11,75,PARIS 03,68,89485,16609264,Gaz
Année de référence,H1a,11,75,PARIS 03,68,89485,16609264,Reseau de chaleur
Année de référence,H1a,11,77,AUBEPIERRE OZOUER LE REPOS,3,7082,481011,Electricite
Année de référence,H1a,11,77,AUBEPIERRE OZOUER LE REPOS,3,7082,481011,Gaz
Année de référence,H1a,11,77,AVON,22,54775,11119681,Electricite
Année de référence,H1a,11,77,AVON,22,54775,11119681,Gaz
Année de référence,H1a,11,77,BOIS LE ROI,3,15991,3181175,Electricite
Année de référence,H1a,11,77,BOIS LE ROI,3,15991,3181175,Gaz
Année de référence,H1a,11,77,BOISSISE LE ROI,3,13423,1837668,Electricite
Année de référence,H1a,11,77,BRIE COMTE ROBERT,26,74233,12827930,Electricite
Année de référence,H1a,11,77,BRIE COMTE ROBERT,26,74233,12827930,Gaz
Année de référence,H1a,11,77,BROU SUR CHANTEREINE,6,19287,3983497,Electricite
Année de référence,H1a,11,77,BROU SUR CHANTEREINE,6,19287,3983497,Gaz
Année de référence,H1a,11,77,BUSSY SAINT MARTIN,8,17022,1960304,Electricite
Année de référence,H1a,11,77,CESSON,14,60339,16747085,Electricite
Année de référence,H1a,11,77,CESSON,14,60339,16747085,Gaz
Année de référence,H1a,11,77,CHANTELOUP EN BRIE,4,32558,6057398,Electricite
Année de référence,H1a,11,77,CHANTELOUP EN BRIE,4,32558,6057398,Gaz
Année de référence,H1a,11,77,CHATRES,7,243817,25410710,Electricite
Année de référence,H1a,11,77,CHATRES,7,243817,25410710,Gaz
Année de référence,H1a,11,77,CHAUCONIN NEUFMONTIERS,7,39413,6251471,Electricite
Année de référence,H1a,11,77,CHELLES,33,123029,31490722,Electricite
Année de référence,H1a,11,77,CHELLES,33,123029,31490722,Gaz
Année de référence,H1a,11,77,CHELLES,33,123029,31490722,Reseau de chaleur
Année de référence,H1a,11,77,CLAYE SOUILLY,44,125442,32377757,Electricite
Année de référence,H1a,11,77,CLAYE SOUILLY,44,125442,32377757,Gaz
Année de référence,H1a,11,77,COMBS LA VILLE,35,184105,15748102,Electricite
Année de référence,H1a,11,77,COMBS LA VILLE,35,184105,15748102,Gaz
Année de référence,H1a,11,77,COMPANS,11,145301,21093653,Electricite
Année de référence,H1a,11,77,COMPANS,11,145301,21093653,Gaz
Année de référence,H1a,11,77,COULOMMIERS,40,118196,21840139,Electricite
Année de référence,H1a,11,77,COULOMMIERS,40,118196,21840139,Gaz
Année de référence,H1a,11,77,COULOMMIERS,40,118196,21840139,Reseau de chaleur
Année de référence,H1a,11,77,CRECY LA CHAPELLE,6,14380,3103497,Electricite
Année de référence,H1a,11,77,CRECY LA CHAPELLE,6,14380,3103497,Gaz
Année de référence,H1a,11,77,CREGY LES MEAUX,8,32494,5100550,Electricite
Année de référence,H1a,11,77,CREGY LES MEAUX,8,32494,5100550,Gaz
Année de référence,H1a,11,77,DAMMARIE LES LYS,34,67691,13876977,Electricite
Année de référence,H1a,11,77,DAMMARIE LES LYS,34,67691,13876977,Gaz
Année de référence,H1a,11,77,EMERAINVILLE,28,88960,19419876,Electricite
Année de référence,H1a,11,77,EMERAINVILLE,28,88960,19419876,Gaz
Année de référence,H1a,11,77,FERRIERES EN BRIE,11,163507,15124011,Electricite
Année de référence,H1a,11,77,FONTAINEBLEAU,25,174770,32425047,Electricite
Année de référence,H1a,11,77,FONTAINEBLEAU,25,174770,32425047,Gaz
Année de référence,H1a,11,77,FONTENAY TRESIGNY,15,115334,11480690,Electricite
Année de référence,H1a,11,77,FONTENAY TRESIGNY,15,115334,11480690,Gaz
Année de référence,H1a,11,77,FONTENAY TRESIGNY,15,115334,11480690,Non spécifié
