annee_consommation,meta_categorie_activite,categorie_activite,sous_categorie_activite,nombre_declaration,surface_declaree,consommation_declaree
0 - année de référence,Accueil petite enfance,Accueil petite enfance,Accueil petite enfance (Valeur par défaut),401,747473,82714156
0 - année de référence,Accueil petite enfance,Accueil petite enfance,Accueil petite enfance - Administration et bureaux,38,63436,7723500
0 - année de référence,Accueil petite enfance,Accueil petite enfance,Accueil petite enfance - Crèche,738,668089,119122080
0 - année de référence,Accueil petite enfance,Accueil petite enfance,Accueil petite enfance - Halte garderie,193,146525,21069003
0 - année de référence,Audiovisuel,Audiovisuel - Radio,Radio (Valeur par défaut),5,743,152511
0 - année de référence,Audiovisuel,Audiovisuel - Radio,Radio - Administration et rédaction,25,28372,6700322
0 - année de référence,Audiovisuel,Audiovisuel - Télévision et télédiffusion,Télévision (Valeur par défaut),67,233220,79118895
0 - année de référence,Audiovisuel,Audiovisuel - Télévision et télédiffusion,Télévision - Administration et rédaction,12,80595,38766193
0 - année de référence,Audiovisuel,Audiovisuel - Télévision et télédiffusion,Télévision - Studio d'enregistrement et de diffusion d'émissions télévisées,31,88182,11213509
0 - année de référence,Blanchisserie,"Blanchisserie dite ""industrielle""",Blanchisserie industrielle (Valeur par défaut),159,651901,892951049
0 - année de référence,Blanchisserie,"Blanchisserie dite ""industrielle""","Blanchisserie industrielle - Lavage, Séchage et Finition",22,55315,75054086
0 - année de référence,Blanchisserie,"Blanchisserie dite ""industrielle""",Blanchisserie industrielle - Nettoyage à sec,3,300,192663
0 - année de référence,Blanchisserie,"Blanchisserie dite ""industrielle""",Blanchisserie industrielle - Stockage et Tri,6,34344,18337484
0 - année de référence,Blanchisserie,"Blanchisserie dite ""industrielle""",Blanchisserie industrielle - Traitement linge résidents ou particuliers,11,5834,3880361
0 - année de référence,Bureaux,Bureaux – Services Publics - Banque,Accueil petite enfance - Crèche,4,3711,533261
0 - année de référence,Bureaux,Bureaux – Services Publics - Banque,Accueil petite enfance - Halte garderie,5,10267,1832197
0 - année de référence,Bureaux,Bureaux – Services Publics - Banque,Banque - Distributeur automatique de billets indépendant,4,334,43497
