,id_consommation,annee_consommation,surface_declaree,nombre_declaration,consommation_declaree,densite_energetique,coordonnees_gps,consommation_log,consommation_etat,id_zone_climatique,id_vecteur_energie,id_commune,nom_commune,id_departement,nom_departement,id_region,nom_region,zone_climatique,vecteur_energie
0,1,Année de référence,205643,86,38442621,186.938631511892,"(16.2679458, -61.5870766)",17.464677349937865,Normale,1,1,1,BAIE MAHAULT,1,Guadeloupe,1,Guadeloupe,GUA,Electricite
1,2,Année de référence,8815,7,1287317,146.0370958593307,"(16.0225079, -61.7454024)",14.06807154230457,Normale,1,1,2,BAILLIF,1,Guadeloupe,1,Guadeloupe,GUA,Electricite
2,3,Année de référence,4024,4,699468,173.82405566600397,"(16.0000778, -61.7333373)",13.45807675473608,Normale,1,1,3,BASSE TERRE,1,Guadeloupe,1,Guadeloupe,GUA,Electricite
3,4,Année de référence,88040,34,20281219,230.3636869604725,"(16.2706436, -61.5057749)",16.825205892668777,Normale,1,1,4,LES ABYMES,1,Guadeloupe,1,Guadeloupe,GUA,Electricite
4,5,Année de référence,14890,13,1302881,87.50040295500335,"(16.1913912, -61.5903488)",14.080089291760569,Normale,1,1,5,PETIT BOURG,1,Guadeloupe,1,Guadeloupe,GUA,Electricite
5,6,Année de référence,2682,4,702277,261.8482475764355,"(16.2408636, -61.5334077)",13.462084616012142,Normale,1,1,6,POINTE A PITRE,1,Guadeloupe,1,Guadeloupe,GUA,Electricite
6,7,Année de référence,8982,6,2701468,300.7646403918949,"(16.2532002, -61.2750706)",14.809306257093995,Normale,1,1,7,SAINT FRANCOIS,1,Guadeloupe,1,Guadeloupe,GUA,Electricite
7,8,Année de référence,60641,28,7489990,123.51362939265512,"(4.9371544, -52.3258736)",15.829078153890544,Normale,2,1,8,CAYENNE,2,Guyane,2,Guyane,GUY,Electricite
8,9,Année de référence,9575,5,2381032,248.6717493472585,"(5.1579834, -52.6424204)",14.68304498509576,Normale,2,1,9,KOUROU,2,Guyane,2,Guyane,GUY,Electricite
9,10,Année de référence,15303,11,2417127,157.95118604195255,"(4.8496712, -52.3268695)",14.698090616496044,Normale,2,1,10,MATOURY,2,Guyane,2,Guyane,GUY,Electricite
10,11,Année de référence,22076,10,8409763,380.9459594129371,"(4.9050148, -52.2771642)",15.944903969724235,Normale,2,1,11,REMIRE MONTJOLY,2,Guyane,2,Guyane,GUY,Electricite
11,12,Année de référence,6837,3,1980161,289.6242504022232,"(49.0273072, 3.0218144)",14.49868921750561,Normale,3,2,12,LIZY SUR OURCQ,3,Seine-et-Marne,3,Île-de-France,H1a,Inconnu
12,13,Année de référence,3391,7,218404,64.40695959893837,"(49.0332971, 2.5809475)",12.294106416363723,Normale,3,1,13,MAUREGARD,3,Seine-et-Marne,3,Île-de-France,H1a,Electricite
13,14,Année de référence,2372,3,244282,102.98566610455312,"(48.9412182, 2.8596553)",12.40608266825069,Normale,3,2,14,VILLENOY,3,Seine-et-Marne,3,Île-de-France,H1a,Inconnu
14,15,Année de référence,23602,4,3819060,161.81086348614525,"(47.5475818, 3.7165618)",15.15551513884783,Normale,3,2,15,BOIS D ARCY,4,Yvelines,3,Île-de-France,H1a,Inconnu
15,16,Année de référence,1817,3,251502,138.41607044578976,"(49.0213601, 1.7151203)",12.435210196880211,Normale,3,2,16,FOLLAINVILLE DENNEMONT,4,Yvelines,3,Île-de-France,H1a,Inconnu
16,17,Année de référence,5558,5,691223,124.36541921554516,"(49.4941667, 3.7119444)",13.446219218091402,Normale,3,1,17,BIEVRES,5,Essonne,3,Île-de-France,H1a,Electricite
17,18,Année de référence,3913,3,1586548,405.4556606184513,"(48.5136159, 2.2174622)",14.277071775125664,Normale,3,2,18,CHAMARANDE,5,Essonne,3,Île-de-France,H1a,Inconnu
18,19,Année de référence,16145,17,2423327,150.09767729947353,"(50.4573687, 1.6651851)",14.70065236001386,Normale,3,1,19,SAINT AUBIN,5,Essonne,3,Île-de-France,H1a,Electricite
19,20,Année de référence,482,3,132809,275.5373443983402,"(48.6633406, 2.1694739)",11.796674814394295,Normale,3,1,20,SAINT JEAN DE BEAUREGARD,5,Essonne,3,Île-de-France,H1a,Electricite
20,21,Année de référence,8636,3,2977877,344.82132931912923,"(48.5740125, 2.3593984)",14.906721524294907,Normale,3,2,21,VERT LE GRAND,5,Essonne,3,Île-de-France,H1a,Inconnu
21,22,Année de référence,32746,3,5453404,166.53649300677947,"(48.8534951, 2.3483915)",15.511750742193705,Normale,3,2,22,PARIS,6,Val-de-Marne,3,Île-de-France,H1a,Inconnu
22,23,Année de référence,29787,4,1907571,64.04038674589586,"(48.9748734, 2.4332879)",14.461341787168896,Normale,3,1,23,BONNEUIL EN FRANCE,7,Val-d'Oise,3,Île-de-France,H1a,Electricite
